name,units,count(units),group_concat(comment),column_name
PN flux,mg m**2 day*1,36,"sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1],sinking_flux_of_particulate_total_nitrogen_in_sea_water  [mg m-2 d-1]",pon
PN flux,mg/m**2/day,29,averagePN(mmol m-2d-1),pon
PN std dev,±,1,,pon_sd
PN_QF,unitless,36,"quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag",pon_qc
PN_flux,mg/m2/day,1,particulate nitrogen flux,pon
PN_mass_flux,mg m-2 d-1,56,"<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm",pon
PN_mass_flux_quality_control,unitless,56,"quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux,quality flag for particulate total nitrogen mass flux",pon_qc
PN_mass_flux_uncertainty,mg m-2 d-1,56,"uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux,uncertainty for particulate total nitrogen mass flux",pon_sd
PO4,%,2,"fraction < 2mm, detection limit ???,fraction < 2mm, detection limit 4 ppm, not covered by accreditation, use with great care",pon_sd
POC,%,28,"salt-corrected,Diatoms, surface standing stock (integrated over 80 m),Unidentified flagellates, surface standing stock (integrated over 80 m),Phaeocystis antarctica, surface standing stock (integrated over 80 m),Coccoid cells, surface standing stock (integrated over 80 m),Dinoflagellates, thecate, surface standing stock (integrated over 80 m),Dinoflagellates, athecate, surface standing stock (integrated over 80 m),Dinoflagellates, total, surface standing stock (integrated over 80 m),Total protists carbon, surface standing stock (integrated over 80 m),percentage of total flux,percentage of total flux",poc
POC flux,%,24,"particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,Diatoms,Unidentified flagellates,Phaeocystis antarctica,Coccoid cells,Dinoflagellates, thecate,Dinoflagellates, athecate,Dinoflagellates, total,Total protists carbon",poc
POC flux,g/m**2/a,3,,poc
POC flux,mg m**2 day*1,36,"sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_organic_carbon_in_sea  [mg m-2 d-1]",poc
POC flux,mg/m**2/day,370,"original unit g/m**2/d**1,Replicate 1,Replicate 2,Replicate 3,Average,mean,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,Total organic carbon dis. in a samples brine solution expressed as carbon flux,Total organic carbon dis. in a sample`s brine solution expressed as carbon flux,Total organic carbon dis. in a samples brine solution expressed as carbon flux,Total organic carbon dis. in a sample`s brine solution expressed as carbon flux,Total organic carbon dis. in a samples brine solution expressed as carbon flux,Total organic carbon dis. in a samples brine solution expressed as carbon flux,at 150m water depth,at 200m water depth,at 300m water depth,corresponds to ICE event; measured from filtered water samples from sediment trap cylinders with about 24-hour deployment, then calculated,Total POC fluxes from PELAGRA traps (Martin et al., 2013),Acanthostomella norvegica,Stenosomella avellana,Cymatocylis antarctica,Cymatocylis vanhoeffeni,Codonellopsis pusilla,Codonellopsis gausii,other tintinnid ciliates,total tintinnid ciliates,non-spinose, full,non-spinose, empty,non-spinose, broken,spinose, full,spinose, empty,spinose, broken,total, full,total, empty,total, broken,total, full + empty + broken individuals of all foraminifers,Fragilariopsis kerguelensis, F (full),Fragilariopsis kerguelensis, E (empty),Fragilariopsis kerguelensis, B (broken),Fragilariopsis kerguelensis, F + E + B,Fragilariopsis kerguelensis, F + E + B standing stock (average over all surface IN stations, integrated over the upper 80 m),Thalassionema nitzschioides, F (ful),Thalassionema nitzschioides, E (empty),Thalassionema nitzschioides, B (broken),Thalassionema nitzschioides, F + E + B,Thalassionema nitzschioides, F + E + B standing stock (average over all surface IN stations, integrated over the upper 80 m),Ephemera cf. planamembranacea, F (full),Ephemera cf. planamembranacea, E (empty),Ephemera cf. planamembranacea, B (broken),Ephemera cf. planamembranacea, F + E + B,Ephemera cf. Planamembranacea, F + E + B standing stock (average over all surface IN stations, integrated over the upper 80 m)",poc
POC flux,mmol/m**2/day,21,"export,small volume (SV) analysis,sediment trap",poc
POC flux,mol/m**2/a,88,,poc
POC flux std dev,±,14,,poc_sd
POC std dev,±,4,"SV analysis,sediment trap",poc_sd
POCF,milligram/m2/day,1,mean flux of particulate organic matter for the next 15 days,poc
POCF_QC,unitless,1,,mass_total_qc
POC_QF,unitless,36,"quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag",poc_qc
POC_f_A,mmol/m**2/d,1,"particulate organic carbon flux of split A, computed as the difference between TC flux and PIC flux of split A",poc
POC_f_B,mmol/m**2/d,1,"particulate organic carbon flux of split B, computed as the difference between TC flux and PIC flux of split B",poc
POC_f_C,mmol/m**2/d,1,"particulate organic carbon flux of split C, computed as the difference between TC flux and PIC flux of split C",poc
POC_f_D,mmol/m**2/d,1,"particulate organic carbon flux of split D, computed as the difference between TC flux and PIC flux of split D",poc
POC_f_err_A,mmol/m**2/d,1,"particulate organic carbon flux uncertainty of split A,POC_f_err_A = (TC_f_err_A**2 + PIC_f_err_A**2)1/2",poc_sd
POC_f_err_B,mmol/m**2/d,1,"particulate organic carbon flux uncertainty of split B,POC_f_err_B = (TC_f_err_B**2 + PIC_f_err_B**2)1/2",poc_sd
POC_f_err_C,mmol/m**2/d,1,"particulate organic carbon flux uncertainty of split C,POC_f_err_C = (TC_f_err_C**2 + PIC_f_err_C**2)1/2",poc_sd
POC_f_err_D,mmol/m**2/d,1,"particulate organic carbon flux uncertainty of split D,POC_f_err_D = (TC_f_err_D**2 + PIC_f_err_D**2)1/2",poc_sd
POC_f_err_mean,mmol/m**2/d,1,"particulate organic carbon flux uncertainty, POC_f_err_mean = (TC_f_err_mean**2 + PIC_f_err_mean**2)1/2",poc_sd
POC_f_mean,mmol/m**2/d,1,"mean particulate organic carbon flux,computed as the difference between mean TC flux and mean PIC flux",poc
POC_flux,mg/m2/day,1,Particulate organic carbon flux,poc
POC_mass_flux,mg m-2 d-1,56,"<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm",poc
POC_mass_flux_quality_control,unitless,56,"quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux,quality flag for particulate organic carbon mass flux",poc_qc
POC_mass_flux_uncertainty,mg m-2 d-1,56,"uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux,uncertainty for particulate organic carbon mass flux",poc_sd
POM,%,2,,NA
POM flux,mg/m**2/day,29,,NA
PON,%,2,salt-corrected,pon
PON flux,g/m**2/a,3,,pon
PON flux,mg/m**2/day,66,"original unit g/m**2/d**1,Replicate 1,Replicate 2,Replicate 3,Average,mean,PON total,PON total,at 150m water depth,at 200m water depth,at 300m water depth,corresponds to ICE event; measured from filtered water samples from sediment trap cylinders with about 24-hour deployment, then calculated",pon
PON flux,mmol/m**2/day,20,export,pon
PON flux std dev,±,2,,pon_sd
PON std dev,±,2,,pon_sd
POP flux,mg/m**2/a,2,,pop
POP flux,mg/m**2/day,3,"mean,averagePOP(mmol m-2d-1)",pop
POP flux std dev,±,1,,pop_sd
PP C,mg/m**2/day,2,Npp (mg C/m2/day),npp_c
PP C area,g/m**2/a,10,"integrated to 150 m,Ba/Al=0.0075,Ba/Al=0.0045,gross PP,new PP",npp_c
PP C area,g/m**2/day,3305,"in situ, if reported",npp_c
PP exp,g/m**2/a,2,"export to 133 m, Schlitzer 2002 personal comment",npp_c
PP flux,µg/m**2/day,9,,npp_c
PP24 int,mmol/m**2/day,3,,npp_c
PSi flux,g/m**2/a,4,,psi
PSi flux,mg/m**2/day,24,"biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic",psi
PSi flux std dev,±,1,,psi_sd
PSi(OH)4 flux,mg/m**2/day,2,,psi_oh_4
PSiO2,%,8,"percentage of total flux,percentage of total flux",psio2
PSiO2 flux,mg/m**2/day,33,original unit g/m**2/d**1,psio2
PSiO2 flux,mmol/m**2/day,6,,psio2
Part flux,g/m**2/a,22,"total partical flux recovered,total partical flux recovered,total partical flux recovered,total partical flux recovered,total partical flux recovered,total partical flux recovered,total partical flux recovered,total partical flux recovered,total vertical from the nepheloid layer,vertical from the intermediate layer,pure vertical from the nepheloid layer,horizontal,vertical,advective,total horizontal,dust flux,dust flux,dust flux,dust flux,dust flux,dust flux,calculated from 230Th xs",mass_total
Part flux other,mg/m**2/day,1,,mass_total
Part flux tot,mg/m**2/day,1,,mass_total
Particulate Inorganic Carbon Flux (mg/m2/day),mg/m2/day,1,Particulate Inorganic Carbon Flux (mg/m2/day),pic
Particulate Inorganic Carbon Flux (mg/m2/day) Flag,unitless,1,Particulate Inorganic Carbon Flux (mg/m2/day) Flag,pic_qc
Particulate Organic Carbon Flux (mg/m2/day),mg/m2/day,1,Particulate Organic Carbon Flux (mg/m2/day),pic
Particulate Organic Carbon Flux (mg/m2/day) Flag,unitless,1,Particulate Organic Carbon Flux (mg/m2/day) Flag,pic_qc
Particulate_inorganic_carbon_flux,mg/m2/d,1,Particulate inorganic carbon (mg/m2/d),pic
Particulate_inorganic_carbon_flux_SD,mg/m2/d,1,Standard Deviation presented where n=3. Difference between replicate presented where n=2,pic_sd
Phaeo,mg Chl a m-2 d-1,1,Phaeopigment flux,pheop
Phe flux,mg/m**2/day,1,,pheop
Pheop flux,µg/m**2/day,56,"Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,Phaeophorbide a, phaeophytin a, and other phaeopigments of chl a,total Phaeopigment flux; corresponds to ICE event; measured from filtered water samples from sediment trap cylinders with about 24-hour deployment, then calculated,>10µm; corresponds to ICE event; measured from filtered water samples from sediment trap cylinders with about 24-hour deployment, then calculated",pheop
Pheop flux std dev,±,10,,pheop_sd
Phosph,%,1,,pop
PhosphorusFlux,mg/m**2/d,1,particulate phosphorus flux,pop
Phosphorus_flux,mg/m2/d,1,Phosphorus (mg/m2/d),pop
Phosphorus_flux_1,mmol/m2/day,2,"Phosphorus flux #1 (mmol/m^2/day)               ,Phosphorus flux #1 (mmol/m^2/day)               ",pop
Phosphorus_flux_2,mmol/m2/day,2,"Phosphorus flux #2 (mmol/m^2/day)               ,Phosphorus flux #2 (mmol/m^2/day)               ",pop
Phosphorus_flux_3,mmol/m2/day,2,"Phosphorus flux #3 (mmol/m^2/day)               ,Phosphorus flux #3 (mmol/m^2/day)               ",pop
Phosphorus_flux_SD,mg/m2/d,1,Standard Deviation presented where n=3. Difference between replicate presented where n=2,pop_sd
Phosphorus_flux_avg,mmol/m2/day,2,"Average Phosphorus flux (mmol/m^2/day)  ,Average Phosphorus flux (mmol/m^2/day)  ",pop
PtotalFlux,ug/m2/day,1,"the phosphorus flux, in ug m-2 d-1. Includes both phosphorus measured in the particle phase as well as dissolved/colloidal phosphorus measured in the trap cup supernatant.",pop
Recover_DateTime_UTC,unitless,1,Time of sediment trap recovery in ISO8601 format,time_recovered
Recover_Time_local,unitless,1,"Time of sediment trap recovery (local, Hawaii Standard Time)",time_recovered
Reference,unitless,1,reference where source data in table was obtained,reference
Sample identity - trap,unitless,1,Sample identity - trap,comments
Sample_Description,unitless,1,sample description,comments
Sample_ID,unitless,1,sample identifier,comments
Sample_Type,unitless,1,sample type,comments
Sampling period,days,1,,duration
SamplingInterval,day,1,yyyy/mm/dd,duration
